                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 2.3033,                 1.8563,                 1.3006,                0.56944,                0.17139,                0.10833,                0.04404,                 2.3723,                 2.2198,                 1.3545,               0.004654,               0.004654,               0.004654
                     57,                 2.2969,                 1.8045,                 1.3032,                0.58773,                0.17111,                0.11795,                0.05144,                 2.2232,                 1.9148,                   1.28,               0.004555,               0.004555,               0.004555
                     58,                 2.2508,                  1.769,                 1.2838,                0.58329,                 0.1534,                0.12418,                0.05536,                 2.1982,                 1.8107,                 1.2552,               0.004456,               0.004456,               0.004456
                     59,                 2.2659,                 1.8157,                 1.2867,                0.56787,                0.14925,                0.12547,                0.05217,                 2.2558,                 1.8342,                 1.2608,               0.004357,               0.004357,               0.004357
                     60,                 2.2571,                 1.7445,                 1.2664,                0.56304,                0.16285,                0.11294,                0.04425,                 2.3886,                 1.9288,                 1.2989,               0.004258,               0.004258,               0.004258
                     61,                 2.3357,                 1.8135,                   1.28,                0.55382,                0.16604,                 0.1123,                0.04268,                 2.3693,                 1.9818,                 1.3015,               0.004159,               0.004159,               0.004159
                     62,                 2.1954,                 1.8548,                 1.3384,                0.57077,                0.15738,                0.11365,                0.04516,                 2.3283,                 2.0371,                 1.3011,                0.00406,                0.00406,                0.00406
                     63,                 2.2331,                 1.7336,                 1.2791,                0.55991,                0.16458,                0.11275,                0.04385,                 2.3717,                 2.0244,                 1.3029,               0.003961,               0.003961,               0.003961
                     64,                 2.2762,                  1.775,                  1.269,                0.56878,                0.14991,                0.11019,                0.04315,                 2.3986,                 1.9106,                 1.2876,               0.003862,               0.003862,               0.003862
                     65,                 2.1819,                 1.7411,                 1.2799,                0.70713,                0.14394,                0.12425,                0.05299,                 2.2519,                  1.804,                  1.244,               0.003763,               0.003763,               0.003763
                     66,                 2.2069,                 1.7451,                 1.2956,                0.73007,                0.13545,                0.12829,                0.05438,                 2.2148,                 1.7625,                 1.2473,               0.003664,               0.003664,               0.003664
                     67,                 2.3541,                 1.7693,                 1.2481,                   0.72,                0.13984,                0.12921,                0.05453,                 2.2048,                 1.7768,                 1.2298,               0.003565,               0.003565,               0.003565
                     68,                 2.2589,                 1.7646,                  1.256,                0.69132,                0.14356,                0.11732,                0.04791,                 2.3262,                 1.8281,                 1.2439,               0.003466,               0.003466,               0.003466
                     69,                 2.1982,                 1.7003,                 1.2226,                0.66248,                 0.1495,                0.10793,                0.04303,                 2.4606,                 1.8873,                 1.2871,               0.003367,               0.003367,               0.003367
                     70,                 2.2029,                 1.8226,                 1.2836,                0.55342,                0.16348,                0.11625,                0.04688,                 2.3598,                 1.8702,                 1.2752,               0.003268,               0.003268,               0.003268
                     71,                 2.2687,                  1.884,                 1.3285,                0.56494,                0.16712,                0.12972,                0.05399,                 2.2656,                 1.8238,                 1.2539,               0.003169,               0.003169,               0.003169
                     72,                 2.1959,                 1.7892,                 1.3183,                0.58056,                0.17757,                0.13865,                0.05834,                 2.2252,                 1.8237,                 1.2462,                0.00307,                0.00307,                0.00307
                     73,                  2.203,                 1.6949,                 1.2536,                0.55279,                0.18451,                0.12167,                0.04679,                 2.4034,                 1.9215,                 1.2968,               0.002971,               0.002971,               0.002971
                     74,                 2.2793,                 1.7651,                 1.2294,                0.41658,                0.16495,                0.09518,                 0.0312,                 2.6991,                 2.0739,                 1.3961,               0.002872,               0.002872,               0.002872
                     75,                 2.2027,                 1.6949,                 1.2598,                0.55164,                0.14879,                0.10264,                 0.0355,                 2.6001,                 2.0151,                 1.3683,               0.002773,               0.002773,               0.002773
                     76,                 2.2659,                 1.7428,                 1.2454,                0.70897,                 0.1476,                0.12866,                0.05196,                 2.2967,                 1.8373,                 1.2729,               0.002674,               0.002674,               0.002674
                     77,                 2.1091,                  1.653,                 1.2299,                0.71796,                0.14583,                0.13524,                0.05839,                 2.1903,                 1.7606,                 1.2419,               0.002575,               0.002575,               0.002575
                     78,                 2.1627,                 1.6773,                 1.2248,                0.71727,                0.14751,                0.14042,                0.06252,                   2.16,                 1.7236,                 1.2257,               0.002476,               0.002476,               0.002476
                     79,                 2.1388,                 1.8022,                 1.2427,                0.70592,                0.14783,                0.14497,                0.06301,                 2.1847,                 1.7228,                 1.2225,               0.002377,               0.002377,               0.002377
                     80,                 2.2482,                 1.7388,                  1.224,                0.58184,                0.15597,                0.13884,                0.05893,                 2.2471,                 1.7421,                   1.23,               0.002278,               0.002278,               0.002278
                     81,                 2.1242,                 1.6474,                 1.2127,                0.56613,                0.19024,                0.14096,                0.06127,                 2.2381,                 1.7441,                 1.2283,               0.002179,               0.002179,               0.002179
                     82,                 2.1766,                 1.7082,                 1.2421,                0.57537,                0.19249,                0.15434,                0.06964,                 2.1471,                 1.6963,                 1.2135,                0.00208,                0.00208,                0.00208
                     83,                  2.055,                 1.6024,                 1.1641,                0.57592,                0.19582,                0.15931,                0.07203,                 2.1271,                 1.6801,                 1.2167,               0.001981,               0.001981,               0.001981
                     84,                 2.0452,                 1.6712,                 1.2442,                 0.5688,                0.20146,                0.16506,                0.07485,                 2.1045,                 1.6672,                 1.2206,               0.001882,               0.001882,               0.001882
                     85,                 2.1823,                 1.5966,                 1.2085,                0.56446,                0.20638,                0.16284,                0.07182,                 2.1133,                 1.6747,                 1.2222,               0.001783,               0.001783,               0.001783
                     86,                 2.0786,                 1.5834,                 1.1987,                0.70176,                 0.1709,                0.16525,                0.07255,                 2.1331,                 1.6744,                  1.222,               0.001684,               0.001684,               0.001684
                     87,                 2.0721,                 1.6577,                 1.2259,                0.71482,                0.15616,                0.17463,                0.07651,                 2.1433,                 1.6615,                 1.2198,               0.001585,               0.001585,               0.001585
                     88,                 2.1245,                 1.6448,                 1.2186,                0.71343,                0.15679,                0.17873,                0.08273,                 2.1278,                 1.6425,                 1.2119,               0.001486,               0.001486,               0.001486
                     89,                 2.0914,                   1.61,                 1.1873,                0.69748,                0.17348,                0.19411,                0.09692,                  2.074,                  1.604,                 1.1958,               0.001387,               0.001387,               0.001387
                     90,                 2.0523,                 1.6393,                 1.2033,                0.70509,                  0.178,                 0.2005,                0.10573,                 2.0258,                 1.5695,                 1.1869,               0.001288,               0.001288,               0.001288
                     91,                 2.1822,                 1.9012,                 1.2845,                0.72609,                0.16612,                0.20516,                 0.1064,                 2.0117,                 1.5508,                  1.187,               0.001189,               0.001189,               0.001189
                     92,                 2.1071,                 1.7913,                 1.2889,                0.71891,                0.16924,                0.20602,                0.10748,                 2.0204,                 1.5604,                 1.1905,                0.00109,                0.00109,                0.00109
                     93,                 2.2701,                 1.8168,                 1.2888,                0.72622,                 0.1688,                0.20306,                0.10414,                 2.0316,                  1.589,                  1.189,               0.000991,               0.000991,               0.000991
                     94,                 2.1658,                 1.7128,                 1.2336,                0.73187,                0.16331,                0.19809,                0.10034,                 2.0409,                 1.6221,                 1.1842,               0.000892,               0.000892,               0.000892
                     95,                 2.1065,                 1.6611,                 1.2532,                0.71648,                 0.1659,                0.19214,                0.09449,                 2.0571,                 1.6536,                 1.1845,               0.000793,               0.000793,               0.000793
                     96,                 2.1062,                 1.6675,                 1.2182,                0.72021,                0.16319,                0.18749,                0.08788,                 2.0791,                 1.6691,                 1.1864,               0.000694,               0.000694,               0.000694
                     97,                 1.9977,                 1.6495,                 1.1896,                0.71453,                0.16476,                0.17299,                0.08479,                 2.0878,                 1.6645,                 1.1887,               0.000595,               0.000595,               0.000595
                     98,                 2.0762,                 1.6274,                 1.2063,                0.58622,                0.18036,                0.17141,                0.08459,                 2.0786,                 1.6489,                 1.1872,               0.000496,               0.000496,               0.000496
                     99,                 2.0631,                 1.6575,                 1.2169,                0.58585,                0.19138,                0.17325,                0.08578,                 2.0559,                 1.6321,                 1.1827,               0.000397,               0.000397,               0.000397
                    100,                  2.058,                  1.623,                 1.2309,                0.59808,                0.18296,                0.17562,                0.08726,                 2.0358,                 1.6179,                 1.1799,               0.000298,               0.000298,               0.000298
