                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.6015,                 1.4199,                0.99256,                 0.4596,                0.21915,                0.20221,                 0.1194,                 1.6038,                 1.3812,                0.98221,               0.005545,               0.005545,               0.005545
                     48,                 1.8071,                 1.4197,                 1.0257,                0.45166,                0.20761,                0.18818,                0.11176,                 1.6742,                 1.3689,                0.99349,               0.005446,               0.005446,               0.005446
                     49,                 1.6869,                  1.429,                 1.0006,                0.37243,                0.23171,                0.22935,                0.14206,                 1.5589,                 1.3013,                0.97655,               0.005347,               0.005347,               0.005347
                     50,                 1.6679,                 1.4567,                 1.0173,                0.35332,                0.22472,                0.20344,                0.12244,                 1.6236,                 1.3742,                0.98078,               0.005248,               0.005248,               0.005248
                     51,                  1.691,                 1.4162,                0.98739,                0.38638,                0.24643,                0.22556,                0.13956,                 1.5589,                 1.2957,                0.96794,               0.005149,               0.005149,               0.005149
                     52,                 1.7113,                 1.4174,                 1.0045,                 0.3851,                0.22858,                 0.2114,                0.13289,                  1.612,                 1.3144,                0.97972,                0.00505,                0.00505,                0.00505
                     53,                 1.6591,                 1.3971,                0.98447,                0.44015,                 0.2649,                0.24019,                0.14837,                 1.5307,                 1.2766,                 0.9694,               0.004951,               0.004951,               0.004951
                     54,                 1.6846,                 1.4277,                 1.0313,                0.42591,                0.22497,                0.22282,                0.13769,                  1.532,                   1.28,                0.96668,               0.004852,               0.004852,               0.004852
                     55,                 1.6006,                  1.411,                0.99001,                0.41331,                0.24536,                0.23381,                0.14121,                 1.5158,                 1.2735,                0.97091,               0.004753,               0.004753,               0.004753
                     56,                 1.6172,                 1.3894,                 1.0086,                0.42965,                0.25637,                0.24314,                0.15049,                 1.5278,                 1.2603,                0.96771,               0.004654,               0.004654,               0.004654
                     57,                 1.6463,                 1.3556,                 1.0087,                0.42403,                0.24478,                0.24293,                0.14858,                  1.552,                 1.2704,                0.97086,               0.004555,               0.004555,               0.004555
                     58,                 1.5949,                 1.3095,                0.98501,                0.41431,                0.25088,                0.25084,                0.15221,                 1.5441,                 1.2654,                0.96301,               0.004456,               0.004456,               0.004456
                     59,                 1.5923,                 1.3347,                0.98907,                0.38536,                0.27396,                0.24996,                0.15192,                 1.5315,                 1.2494,                0.96241,               0.004357,               0.004357,               0.004357
