                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                  1.799,                 1.3845,                 1.0655,                0.37333,                0.25408,                0.21174,                0.11905,                 1.9468,                 1.5049,                 1.0675,               0.004555,               0.004555,               0.004555
                     58,                 1.8185,                 1.3513,                 1.0475,                0.26236,                0.22692,                 0.1951,                0.10766,                 1.9435,                 1.5283,                 1.0653,               0.004456,               0.004456,               0.004456
                     59,                  1.831,                  1.415,                 1.0622,                0.27933,                0.25087,                0.21141,                0.11961,                 1.8075,                 1.4893,                 1.0411,               0.004357,               0.004357,               0.004357
                     60,                 1.8691,                 1.4216,                 1.0529,                0.22316,                0.26008,                0.21891,                0.12201,                 1.7413,                 1.3853,                 1.0285,               0.004258,               0.004258,               0.004258
                     61,                 1.8801,                 1.4229,                 1.0552,                 0.4163,                0.23084,                0.21811,                0.12872,                 1.7458,                 1.3493,                 1.0287,               0.004159,               0.004159,               0.004159
                     62,                 1.6881,                 1.3673,                 1.0603,                0.34477,                0.27082,                0.24358,                0.13711,                 1.7183,                 1.3087,                 1.0181,                0.00406,                0.00406,                0.00406
                     63,                 1.7193,                 1.3097,                 1.0333,                0.39239,                0.24571,                0.25271,                0.14185,                 1.7119,                 1.3038,                 1.0155,               0.003961,               0.003961,               0.003961
                     64,                 1.8054,                 1.3745,                 1.0469,                0.41893,                0.23874,                0.25744,                0.14067,                 1.7344,                  1.325,                 1.0198,               0.003862,               0.003862,               0.003862
                     65,                 1.6889,                 1.2887,                 1.0433,                0.36203,                0.26989,                0.24818,                 0.1366,                  1.746,                 1.3449,                 1.0252,               0.003763,               0.003763,               0.003763
                     66,                 1.6948,                 1.2997,                 1.0575,                0.36633,                0.26602,                0.24451,                0.13549,                 1.7399,                 1.3437,                 1.0339,               0.003664,               0.003664,               0.003664
                     67,                 1.9183,                 1.3785,                  1.058,                0.36665,                0.26463,                0.24576,                0.13706,                 1.7284,                 1.3214,                 1.0269,               0.003565,               0.003565,               0.003565
                     68,                 1.8258,                 1.3107,                 1.0494,                0.39462,                0.25486,                0.24719,                0.13709,                 1.7211,                 1.2962,                 1.0194,               0.003466,               0.003466,               0.003466
                     69,                 1.7658,                 1.2978,                 1.0308,                0.44644,                0.24617,                0.25799,                0.14702,                 1.7624,                  1.304,                 1.0267,               0.003367,               0.003367,               0.003367
                     70,                 1.7172,                 1.3666,                  1.058,                0.41354,                0.25953,                0.26329,                0.14809,                 1.7289,                 1.3003,                 1.0194,               0.003268,               0.003268,               0.003268
                     71,                 1.7968,                 1.3981,                 1.0857,                0.41007,                0.24527,                0.26315,                0.14929,                 1.6757,                 1.2908,                 1.0149,               0.003169,               0.003169,               0.003169
                     72,                 1.7131,                 1.3722,                 1.0666,                0.49448,                0.22946,                0.26468,                0.15095,                 1.6677,                 1.2891,                 1.0171,                0.00307,                0.00307,                0.00307
                     73,                 1.7086,                  1.267,                 1.0259,                0.44062,                0.23214,                0.25107,                0.14338,                 1.6438,                 1.2811,                 1.0083,               0.002971,               0.002971,               0.002971
                     74,                 1.8217,                 1.3197,                 1.0508,                0.40662,                0.23669,                0.23778,                0.13454,                 1.7058,                 1.2729,                 1.0123,               0.002872,               0.002872,               0.002872
                     75,                   1.69,                 1.2371,                 1.0372,                0.45116,                0.23179,                0.23631,                0.12746,                 1.7444,                 1.2584,                 1.0193,               0.002773,               0.002773,               0.002773
                     76,                 1.7834,                 1.3187,                 1.0327,                0.55396,                0.23129,                0.25632,                0.15181,                 1.6995,                 1.2325,                 1.0124,               0.002674,               0.002674,               0.002674
                     77,                 1.6254,                  1.251,                 1.0007,                0.36493,                0.28698,                0.26808,                0.16077,                 1.6309,                   1.22,                      1,               0.002575,               0.002575,               0.002575
                     78,                 1.6906,                 1.2749,                 1.0103,                0.38795,                0.31159,                0.27807,                0.16617,                 1.5984,                 1.2272,                0.99415,               0.002476,               0.002476,               0.002476
